"","trip#","driver#","#occupants","pre-trip","date_trip","time_start","lighting","road_conditions","odometer","starting_outside_temp","starting_inside_temp","departure_trip","range_start","drive_mode","notes_start","post-trip","outside_temp_finish","inside_temp_finish","blue_score","distance","average_speed","time_finish","economy","range_finish","brakemode","climate_control","road","reset_distance","notes_finish","charge_location","date_charge","time","plugin_temp","unplug_temp","departure_charge","power_usage","cost","notes_charge"
"1",1,"1",1,"Y",2018-11-15,16:36:00,"Dim","Clear",458,6.5,NA,"N",160,"N",NA,"Y",5,NA,85,17,43,":23",16,139,"B","N","Highway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"1",1,"Y",2018-11-16,08:10:00,"Dark","Blizzard",476,-5,NA,"N",140,"N",NA,"Y",-5,NA,81,14,54,":14",21,99,"B","Y","Highway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"1",1,"Y",2018-11-16,08:40:00,"Dim","Blizzard",490,-4.5,NA,"N",100,"N",NA,"Y",-6,NA,98,3,40,":10",24.3,89,"0","Y","City/Highway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"1",1,"Y",2018-11-16,15:25:00,"Dim","Snowy",493,-6,NA,"N",86,"N",NA,"Y",-8.5,NA,87,2,15,":10",38.7,75,"0","Y","City",NA,"Not using a braking mode this car coasts really far!",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"1",1,"Y",2018-11-16,16:05:00,"Dim","Snowy",496,-7.5,NA,"N",72,"N",NA,"Y",-12,NA,86,22,35,":38",26.7,42,"0","Y","City/Highway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"1",1,"Y",2018-11-16,18:58:00,"Dim","Snowy",516,-11.5,NA,"N",43,"N?E","The car changed mode on its own","Y",-10.5,NA,81,19,57,":20",16.5,35,"0","N","Highway",NA,"(went into eco mode)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"1",1,"Y",2018-11-16,19:54:00,"Dim","Snowy",536,-10.5,NA,"N",32,"E?+","The car changed mode on its own","Y",-17,NA,79,20,51,":23",18.9,9,"0","N","Highway",NA,"(went into eco+ mode)","1home",2018-11-16,20:22:00,-17,0,"Y",39.1,NA,"Charge door was frozen shut, had to carefully coax it open"
"8",8,"1",1,"Y",2018-11-19,06:47:00,"Dark","Partly covered",556,0,NA,"Y",184,"N",NA,"Y",0.5,NA,67,14,60,":14",17.2,167,"0","Y","Highway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"1",1,"Y",2018-11-19,07:09:00,"Dark","Partly covered",570,0.5,NA,"N",166,"N",NA,"Y",0.5,NA,84,3,40,":10",17.8,163,"0","Y","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"1",1,"Y",2018-11-19,16:02:00,"Sunny","Clear",573,6.5,NA,"N",166,"N",NA,"Y",6.5,NA,88,1,14,":07",12.5,168,"0","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
