"Station Name","MEDICINE HAT"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","50.02"
"Longitude","-110.72"
"Elevation","716.90"
"Climate Identifier","3034479"
"WMO Identifier","71247"
"TC Identifier","YXH"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-08-01 00:00","2018","08","01","00:00","19.0","","10.4","","57","","6","","8","","16.1","","93.37","","","","","","NA"
"2018-08-01 01:00","2018","08","01","01:00","18.6","","10.0","","57","","9","","15","","16.1","","93.35","","","","","","NA"
"2018-08-01 02:00","2018","08","01","02:00","17.7","","9.8","","60","","9","","11","","16.1","","93.33","","","","","","NA"
"2018-08-01 03:00","2018","08","01","03:00","16.8","","9.8","","63","","6","","8","","16.1","","93.28","","","","","","NA"
"2018-08-01 04:00","2018","08","01","04:00","16.0","","9.7","","66","","5","","5","","16.1","","93.26","","","","","","NA"
"2018-08-01 05:00","2018","08","01","05:00","15.5","","9.7","","68","","5","","11","","16.1","","93.24","","","","","","NA"
"2018-08-01 06:00","2018","08","01","06:00","16.5","","10.2","","66","","5","","11","","16.1","","93.20","","","","","","NA"
"2018-08-01 07:00","2018","08","01","07:00","19.3","","10.9","","58","","6","","13","","16.1","","93.17","","","","","","NA"
"2018-08-01 08:00","2018","08","01","08:00","21.8","","11.6","","52","","2","","5","","16.1","","93.16","","","","","","NA"
"2018-08-01 09:00","2018","08","01","09:00","24.5","","11.8","","45","","27","","11","","16.1","","93.13","","27","","","","NA"
"2018-08-01 10:00","2018","08","01","10:00","26.7","","12.2","","40","","1","","5","","16.1","","93.05","","29","","","","NA"
"2018-08-01 11:00","2018","08","01","11:00","28.7","","12.8","","37","","","M","8","","16.1","","92.96","","31","","","","NA"
"2018-08-01 12:00","2018","08","01","12:00","31.6","","10.8","","27","","13","","21","","16.1","","92.85","","33","","","","NA"
"2018-08-01 13:00","2018","08","01","13:00","32.5","","10.8","","26","","16","","22","","16.1","","92.77","","34","","","","NA"
"2018-08-01 14:00","2018","08","01","14:00","33.5","","8.9","","22","","21","","21","","16.1","","92.68","","34","","","","NA"
"2018-08-01 15:00","2018","08","01","15:00","33.8","","11.8","","26","","22","","17","","16.1","","92.61","","36","","","","NA"
"2018-08-01 16:00","2018","08","01","16:00","34.4","","10.7","","23","","21","","21","","16.1","","92.53","","36","","","","NA"
"2018-08-01 17:00","2018","08","01","17:00","33.7","","11.8","","26","","26","","13","","16.1","","92.48","","36","","","","NA"
"2018-08-01 18:00","2018","08","01","18:00","32.5","","12.0","","28","","25","","11","","16.1","","92.39","","35","","","","NA"
"2018-08-01 19:00","2018","08","01","19:00","30.9","","13.1","","33","","26","","5","","16.1","","92.34","","34","","","","NA"
"2018-08-01 20:00","2018","08","01","20:00","29.7","","10.6","","30","","32","","4","","16.1","","92.36","","31","","","","NA"
"2018-08-01 21:00","2018","08","01","21:00","25.7","","13.3","","46","","19","","5","","16.1","","92.33","","29","","","","NA"
"2018-08-01 22:00","2018","08","01","22:00","24.1","","10.6","","42","","33","","9","","16.1","","92.33","","26","","","","NA"
"2018-08-01 23:00","2018","08","01","23:00","24.1","","10.9","","43","","3","","11","","16.1","","92.36","","26","","","","NA"
"2018-08-02 00:00","2018","08","02","00:00","22.4","","11.0","","48","","5","","8","","16.1","","92.44","","","","","","NA"
"2018-08-02 01:00","2018","08","02","01:00","19.5","","11.4","","59","","18","","8","","16.1","","92.42","","","","","","NA"
"2018-08-02 02:00","2018","08","02","02:00","18.8","","10.5","","58","","","M","11","","16.1","","92.45","","","","","","NA"
"2018-08-02 03:00","2018","08","02","03:00","19.0","","8.5","","50","","29","","17","","16.1","","92.52","","","","","","NA"
"2018-08-02 04:00","2018","08","02","04:00","15.5","","9.8","","69","","27","","8","","16.1","","92.56","","","","","","NA"
"2018-08-02 05:00","2018","08","02","05:00","15.6","","10.0","","69","","28","","8","","16.1","","92.60","","","","","","NA"
"2018-08-02 06:00","2018","08","02","06:00","15.8","","11.0","","73","","22","","4","","16.1","","92.67","","","","","","NA"
"2018-08-02 07:00","2018","08","02","07:00","17.8","","12.1","","69","","22","","5","","16.1","","92.72","","","","","","NA"
"2018-08-02 08:00","2018","08","02","08:00","21.1","","13.4","","61","","","M","8","","16.1","","92.72","","","","","","NA"
"2018-08-02 09:00","2018","08","02","09:00","23.3","","13.6","","54","","21","","5","","16.1","","92.70","","26","","","","NA"
"2018-08-02 10:00","2018","08","02","10:00","25.0","","13.6","","49","","16","","9","","16.1","","92.66","","28","","","","NA"
"2018-08-02 11:00","2018","08","02","11:00","26.7","","14.5","","47","","23","","13","","16.1","","92.63","","30","","","","NA"
