"Station Name","MEDICINE HAT"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","50.02"
"Longitude","-110.72"
"Elevation","716.90"
"Climate Identifier","3034479"
"WMO Identifier","71247"
"TC Identifier","YXH"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-12-01 00:00","2018","12","01","00:00","-4.5","","-5.5","","93","","","M","4","","16.1","","92.47","","","","-6","","NA"
"2018-12-01 01:00","2018","12","01","01:00","-4.7","","-5.7","","93","","1","","8","","12.9","","92.48","","","","-8","","NA"
"2018-12-01 02:00","2018","12","01","02:00","-4.4","","-5.5","","92","","","","0","","11.3","","92.51","","","","","","NA"
"2018-12-01 03:00","2018","12","01","03:00","-4.6","","-5.7","","92","","","","0","","9.7","","92.56","","","","","","Fog"
"2018-12-01 04:00","2018","12","01","04:00","-4.5","","-5.5","","93","","36","","8","","8.1","","92.56","","","","-8","","Fog"
"2018-12-01 05:00","2018","12","01","05:00","-5.2","","-6.5","","91","","1","","8","","9.7","","92.58","","","","-9","","Fog"
"2018-12-01 06:00","2018","12","01","06:00","-5.5","","-6.7","","91","","6","","4","","12.9","","92.60","","","","-7","","NA"
"2018-12-01 07:00","2018","12","01","07:00","-5.5","","-6.7","","91","","34","","11","","12.9","","92.59","","","","-10","","NA"
"2018-12-01 08:00","2018","12","01","08:00","-5.4","","-6.6","","91","","","M","4","","14.5","","92.61","","","","-7","","NA"
"2018-12-01 09:00","2018","12","01","09:00","-5.3","","-6.7","","90","","35","","5","","16.1","","92.67","","","","-8","","NA"
"2018-12-01 10:00","2018","12","01","10:00","-4.8","","-6.2","","90","","35","","9","","16.1","","92.68","","","","-9","","NA"
"2018-12-01 11:00","2018","12","01","11:00","-4.3","","-5.7","","90","","2","","11","","14.5","","92.68","","","","-9","","Snow"
"2018-12-01 12:00","2018","12","01","12:00","-4.2","","-5.6","","90","","36","","8","","4.8","","92.63","","","","-8","","Snow"
"2018-12-01 13:00","2018","12","01","13:00","-3.9","","-5.2","","91","","1","","11","","2.4","","92.61","","","","-8","","Snow"
"2018-12-01 14:00","2018","12","01","14:00","-4.2","","-5.5","","91","","36","","13","","3.2","","92.58","","","","-9","","Snow"
"2018-12-01 15:00","2018","12","01","15:00","-4.4","","-5.8","","90","","1","","17","","2.4","","92.59","","","","-10","","Snow"
"2018-12-01 16:00","2018","12","01","16:00","-4.8","","-5.8","","93","","36","","13","","2.0","","92.63","","","","-10","","Snow"
"2018-12-01 17:00","2018","12","01","17:00","-4.8","","-6.1","","91","","4","","13","","4.0","","92.67","","","","-10","","Snow"
"2018-12-01 18:00","2018","12","01","18:00","-5.2","","-6.5","","91","","3","","11","","8.1","","92.70","","","","-10","","Snow"
"2018-12-01 19:00","2018","12","01","19:00","-5.7","","-6.9","","91","","5","","9","","3.6","","92.71","","","","-10","","Snow"
"2018-12-01 20:00","2018","12","01","20:00","-6.2","","-7.3","","92","","35","","5","","11.3","","92.72","","","","-9","","Snow"
"2018-12-01 21:00","2018","12","01","21:00","-6.1","","-7.2","","92","","36","","9","","12.9","","92.73","","","","-10","","Snow"
"2018-12-01 22:00","2018","12","01","22:00","-6.3","","-7.8","","89","","2","","8","","16.1","","92.74","","","","-10","","NA"
"2018-12-01 23:00","2018","12","01","23:00","-6.7","","-8.2","","89","","6","","4","","16.1","","92.82","","","","-9","","NA"
"2018-12-02 00:00","2018","12","02","00:00","-7.4","","-8.8","","90","","34","","4","","16.1","","92.85","","","","-9","","NA"
"2018-12-02 01:00","2018","12","02","01:00","-9.7","","-10.6","","93","","25","","8","","11.3","","92.87","","","","-14","","NA"
"2018-12-02 02:00","2018","12","02","02:00","-10.2","","-11.2","","92","","24","","8","","9.7","","92.89","","","","-15","","Fog"
"2018-12-02 03:00","2018","12","02","03:00","-10.2","","-11.1","","93","","20","","11","","11.3","","92.92","","","","-16","","NA"
"2018-12-02 04:00","2018","12","02","04:00","-10.9","","-12.1","","91","","26","","8","","1.2","","92.96","","","","-16","","Fog"
"2018-12-02 05:00","2018","12","02","05:00","-10.8","","-12.1","","90","","24","","5","","0.6","","93.00","","","","-14","","Freezing Fog"
"2018-12-02 06:00","2018","12","02","06:00","-9.8","","-11.0","","91","","26","","9","","0.6","","93.03","","","","-15","","Freezing Fog"
"2018-12-02 07:00","2018","12","02","07:00","-10.4","","-11.7","","90","","24","","8","","1.0","","93.08","","","","-15","","Fog"
