"Station Name","MEDICINE HAT"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","50.02"
"Longitude","-110.72"
"Elevation","716.90"
"Climate Identifier","3034479"
"WMO Identifier","71247"
"TC Identifier","YXH"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-05-01 00:00","2018","05","01","00:00","6.5","","0.4","","65","","9","","9","","16.1","","92.44","","","","","","NA"
"2018-05-01 01:00","2018","05","01","01:00","7.1","","0.5","","63","","15","","8","","16.1","","92.37","","","","","","NA"
"2018-05-01 02:00","2018","05","01","02:00","7.6","","0.1","","59","","","","0","","16.1","","92.30","","","","","","NA"
"2018-05-01 03:00","2018","05","01","03:00","6.2","","1.0","","69","","19","","9","","16.1","","92.28","","","","","","NA"
"2018-05-01 04:00","2018","05","01","04:00","8.4","","0.9","","59","","","M","8","","16.1","","92.29","","","","","","NA"
"2018-05-01 05:00","2018","05","01","05:00","7.9","","1.5","","64","","21","","15","","16.1","","92.27","","","","","","NA"
"2018-05-01 06:00","2018","05","01","06:00","9.2","","2.5","","63","","21","","15","","16.1","","92.31","","","","","","NA"
"2018-05-01 07:00","2018","05","01","07:00","9.7","","3.3","","64","","24","","15","","16.1","","92.36","","","","","","NA"
"2018-05-01 08:00","2018","05","01","08:00","7.8","","5.8","","87","","32","","13","","16.1","","92.39","","","","","","Rain"
"2018-05-01 09:00","2018","05","01","09:00","8.6","","5.5","","81","","34","","11","","16.1","","92.43","","","","","","NA"
"2018-05-01 10:00","2018","05","01","10:00","9.6","","5.7","","77","","1","","9","","16.1","","92.50","","","","","","Rain"
"2018-05-01 11:00","2018","05","01","11:00","10.1","","5.3","","72","","","M","4","","16.1","","92.56","","","","","","Rain"
"2018-05-01 12:00","2018","05","01","12:00","10.3","","6.8","","79","","21","","5","","16.1","","92.59","","","","","","NA"
"2018-05-01 13:00","2018","05","01","13:00","12.3","","5.8","","64","","15","","9","","16.1","","92.59","","","","","","NA"
"2018-05-01 14:00","2018","05","01","14:00","11.7","","6.7","","71","","28","","24","","16.1","","92.64","","","","","","Moderate Rain"
"2018-05-01 15:00","2018","05","01","15:00","13.5","","3.5","","51","","33","","26","","16.1","","92.61","","","","","","NA"
"2018-05-01 16:00","2018","05","01","16:00","14.8","","2.2","","42","","34","","21","","16.1","","92.66","","","","","","NA"
"2018-05-01 17:00","2018","05","01","17:00","14.4","","1.1","","40","","34","","22","","16.1","","92.69","","","","","","NA"
"2018-05-01 18:00","2018","05","01","18:00","14.0","","0.6","","40","","33","","22","","16.1","","92.73","","","","","","NA"
"2018-05-01 19:00","2018","05","01","19:00","13.1","","-0.7","","39","","34","","21","","16.1","","92.78","","","","","","NA"
"2018-05-01 20:00","2018","05","01","20:00","10.2","","-0.6","","47","","33","","15","","16.1","","92.83","","","","","","NA"
"2018-05-01 21:00","2018","05","01","21:00","8.8","","-1.0","","50","","34","","5","","16.1","","92.88","","","","","","NA"
