"Station Name","MEDICINE HAT"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","50.02"
"Longitude","-110.72"
"Elevation","716.90"
"Climate Identifier","3034479"
"WMO Identifier","71247"
"TC Identifier","YXH"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-07-01 00:00","2018","07","01","00:00","15.1","","8.8","","66","","","M","9","","16.1","","92.53","","","","","","NA"
"2018-07-01 01:00","2018","07","01","01:00","13.1","","9.3","","77","","24","","11","","16.1","","92.53","","","","","","NA"
"2018-07-01 02:00","2018","07","01","02:00","12.2","","9.4","","83","","24","","13","","16.1","","92.56","","","","","","NA"
"2018-07-01 03:00","2018","07","01","03:00","12.2","","8.9","","80","","","M","4","","16.1","","92.59","","","","","","NA"
"2018-07-01 04:00","2018","07","01","04:00","13.4","","8.3","","71","","23","","13","","16.1","","92.62","","","","","","NA"
"2018-07-01 05:00","2018","07","01","05:00","12.0","","8.1","","77","","28","","13","","16.1","","92.64","","","","","","NA"
"2018-07-01 06:00","2018","07","01","06:00","13.7","","9.2","","74","","21","","11","","16.1","","92.69","","","","","","NA"
"2018-07-01 07:00","2018","07","01","07:00","14.2","","9.5","","73","","19","","11","","16.1","","92.70","","","","","","NA"
"2018-07-01 08:00","2018","07","01","08:00","16.7","","9.2","","61","","24","","5","","16.1","","92.72","","","","","","NA"
"2018-07-01 09:00","2018","07","01","09:00","19.3","","7.8","","47","","33","","22","","16.1","","92.76","","","","","","NA"
"2018-07-01 10:00","2018","07","01","10:00","20.7","","7.3","","41","","30","","17","","16.1","","92.75","","","","","","NA"
"2018-07-01 11:00","2018","07","01","11:00","22.0","","5.5","","34","","26","","22","","16.1","","92.72","","","","","","NA"
