"Station Name","MEDICINE HAT"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","50.02"
"Longitude","-110.72"
"Elevation","716.90"
"Climate Identifier","3034479"
"WMO Identifier","71247"
"TC Identifier","YXH"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-09-01 00:00","2018","09","01","00:00","12.7","","4.7","","58","","23","","18","","16.1","","92.47","","","","","","NA"
"2018-09-01 01:00","2018","09","01","01:00","12.2","","4.6","","59","","21","","13","","16.1","","92.41","","","","","","NA"
"2018-09-01 02:00","2018","09","01","02:00","11.0","","5.1","","67","","20","","11","","16.1","","92.39","","","","","","NA"
"2018-09-01 03:00","2018","09","01","03:00","12.5","","4.8","","59","","20","","11","","16.1","","92.33","","","","","","NA"
"2018-09-01 04:00","2018","09","01","04:00","12.6","","4.6","","58","","21","","13","","16.1","","92.31","","","","","","NA"
"2018-09-01 05:00","2018","09","01","05:00","10.8","","5.8","","71","","22","","11","","16.1","","92.29","","","","","","NA"
"2018-09-01 06:00","2018","09","01","06:00","13.4","","4.6","","55","","21","","18","","16.1","","92.28","","","","","","NA"
"2018-09-01 07:00","2018","09","01","07:00","14.6","","4.8","","52","","21","","21","","16.1","","92.28","","","","","","NA"
"2018-09-01 08:00","2018","09","01","08:00","16.4","","5.5","","48","","23","","26","","16.1","","92.35","","","","","","NA"
"2018-09-01 09:00","2018","09","01","09:00","17.3","","5.7","","46","","33","","30","","16.1","","92.46","","","","","","NA"
"2018-09-01 10:00","2018","09","01","10:00","14.8","","5.8","","54","","34","","46","","16.1","","92.76","","","","","","NA"
"2018-09-01 11:00","2018","09","01","11:00","15.7","","6.3","","53","","34","","24","","16.1","","92.87","","","","","","NA"
"2018-09-01 12:00","2018","09","01","12:00","17.2","","5.3","","45","","29","","24","","16.1","","92.90","","","","","","NA"
"2018-09-01 13:00","2018","09","01","13:00","15.2","","3.1","","44","","33","","28","","16.1","","92.97","","","","","","NA"
"2018-09-01 14:00","2018","09","01","14:00","17.8","","3.2","","37","","31","","21","","16.1","","93.00","","","","","","NA"
"2018-09-01 15:00","2018","09","01","15:00","17.7","","1.9","","34","","30","","26","","16.1","","92.99","","","","","","NA"
"2018-09-01 16:00","2018","09","01","16:00","17.6","","2.2","","35","","31","","18","","16.1","","93.01","","","","","","NA"
"2018-09-01 17:00","2018","09","01","17:00","18.6","","0.8","","30","","32","","21","","16.1","","93.01","","","","","","NA"
"2018-09-01 18:00","2018","09","01","18:00","16.8","","1.0","","34","","33","","15","","16.1","","93.04","","","","","","NA"
"2018-09-01 19:00","2018","09","01","19:00","14.9","","2.2","","42","","36","","8","","16.1","","93.10","","","","","","NA"
"2018-09-01 20:00","2018","09","01","20:00","13.8","","2.5","","46","","3","","9","","16.1","","93.16","","","","","","NA"
"2018-09-01 21:00","2018","09","01","21:00","9.9","","3.4","","64","","18","","5","","16.1","","93.22","","","","","","NA"
"2018-09-01 22:00","2018","09","01","22:00","10.9","","3.0","","58","","","","0","","16.1","","93.22","","","","","","NA"
"2018-09-01 23:00","2018","09","01","23:00","9.3","","3.4","","66","","4","","5","","16.1","","93.22","","","","","","NA"
"2018-09-02 00:00","2018","09","02","00:00","8.9","","4.1","","72","","","M","4","","16.1","","93.29","","","","","","Rain"
"2018-09-02 01:00","2018","09","02","01:00","11.0","","5.1","","67","","13","","13","","16.1","","93.30","","","","","","NA"
"2018-09-02 02:00","2018","09","02","02:00","9.9","","5.3","","73","","6","","8","","16.1","","93.31","","","","","","NA"
"2018-09-02 03:00","2018","09","02","03:00","8.2","","4.8","","79","","16","","4","","16.1","","93.30","","","","","","NA"
"2018-09-02 04:00","2018","09","02","04:00","9.0","","5.2","","77","","","","0","","16.1","","93.27","","","","","","NA"
"2018-09-02 05:00","2018","09","02","05:00","8.2","","5.1","","81","","","M","4","","16.1","","93.24","","","","","","NA"
"2018-09-02 06:00","2018","09","02","06:00","8.3","","5.0","","80","","","","0","","16.1","","93.22","","","","","","NA"
"2018-09-02 07:00","2018","09","02","07:00","9.0","","4.9","","75","","8","","4","","16.1","","93.22","","","","","","NA"
"2018-09-02 08:00","2018","09","02","08:00","11.4","","4.4","","62","","18","","5","","16.1","","93.20","","","","","","NA"
"2018-09-02 09:00","2018","09","02","09:00","13.1","","4.1","","54","","","","0","","16.1","","93.15","","","","","","NA"
"2018-09-02 10:00","2018","09","02","10:00","16.1","","3.7","","43","","23","","9","","16.1","","93.15","","","","","","NA"
"2018-09-02 11:00","2018","09","02","11:00","18.6","","5.0","","40","","18","","17","","16.1","","93.06","","","","","","NA"
"2018-09-02 12:00","2018","09","02","12:00","20.1","","2.2","","30","","22","","22","","16.1","","93.00","","","","","","NA"
"2018-09-02 13:00","2018","09","02","13:00","21.8","","-2.0","","20","","26","","21","","16.1","","92.98","","","","","","NA"
"2018-09-02 14:00","2018","09","02","14:00","22.6","","0.1","","22","","25","","22","","16.1","","92.95","","","","","","NA"
"2018-09-02 15:00","2018","09","02","15:00","22.2","","1.4","","25","","24","","21","","16.1","","92.92","","","","","","NA"
"2018-09-02 16:00","2018","09","02","16:00","22.0","","0.1","","23","","26","","21","","16.1","","92.92","","","","","","NA"
"2018-09-02 17:00","2018","09","02","17:00","21.8","","-0.8","","22","","28","","24","","16.1","","92.95","","","","","","NA"
"2018-09-02 18:00","2018","09","02","18:00","20.3","","1.0","","27","","29","","11","","16.1","","92.95","","","","","","NA"
"2018-09-02 19:00","2018","09","02","19:00","17.3","","1.4","","34","","36","","9","","16.1","","92.94","","","","","","NA"
"2018-09-02 20:00","2018","09","02","20:00","14.6","","2.4","","43","","15","","11","","16.1","","92.98","","","","","","NA"
"2018-09-02 21:00","2018","09","02","21:00","14.5","","1.8","","42","","11","","5","","16.1","","92.98","","","","","","NA"
"2018-09-02 22:00","2018","09","02","22:00","11.4","","1.9","","52","","15","","5","","16.1","","92.95","","","","","","NA"
"2018-09-02 23:00","2018","09","02","23:00","10.6","","2.5","","57","","","M","5","","16.1","","92.91","","","","","","NA"
"2018-09-03 00:00","2018","09","03","00:00","10.1","","2.1","","57","","5","","5","","16.1","","92.85","","","","","","NA"
"2018-09-03 01:00","2018","09","03","01:00","8.7","","3.7","","71","","","","0","","16.1","","92.81","","","","","","NA"
"2018-09-03 02:00","2018","09","03","02:00","9.8","","3.3","","64","","","","0","","16.1","","92.79","","","","","","NA"
"2018-09-03 03:00","2018","09","03","03:00","10.5","","3.1","","60","","22","","8","","16.1","","92.75","","","","","","NA"
"2018-09-03 04:00","2018","09","03","04:00","11.9","","3.0","","54","","22","","8","","16.1","","92.71","","","","","","NA"
"2018-09-03 05:00","2018","09","03","05:00","14.1","","2.1","","44","","21","","13","","16.1","","92.66","","","","","","NA"
"2018-09-03 06:00","2018","09","03","06:00","13.6","","2.5","","47","","21","","11","","16.1","","92.64","","","","","","NA"
"2018-09-03 07:00","2018","09","03","07:00","15.7","","2.3","","40","","18","","13","","16.1","","92.59","","","","","","NA"
"2018-09-03 08:00","2018","09","03","08:00","17.8","","3.4","","38","","21","","17","","16.1","","92.57","","","","","","NA"
"2018-09-03 09:00","2018","09","03","09:00","18.5","","3.9","","38","","22","","21","","16.1","","92.61","","","","","","NA"
"2018-09-03 10:00","2018","09","03","10:00","21.5","","4.7","","33","","23","","30","","16.1","","92.64","","","","","","NA"
"2018-09-03 11:00","2018","09","03","11:00","18.1","","5.4","","43","","29","","35","","16.1","","92.75","","","","","","NA"
"2018-09-03 12:00","2018","09","03","12:00","16.0","","6.8","","54","","31","","35","","16.1","","92.88","","","","","","NA"
"2018-09-03 13:00","2018","09","03","13:00","16.5","","6.7","","52","","31","","37","","16.1","","93.02","","","","","","NA"
"2018-09-03 14:00","2018","09","03","14:00","14.3","","6.7","","60","","30","","34","","16.1","","93.24","","","","","","NA"
