trip_num,driver_num,num_occupants,pre_trip,trip_date,start_time,lighting,road_conditions,odometer,start_outside_temp,start_inside_temp,start_departure,range_start,drive_mode,start_notes,post_trip,finish_outside_temp,finish_inside_temp,blue_score,trip_distance,average_speed,trip_duration,economy,range_remaining,brake_mode,climate_control,road_style,reset_meters,finish_notes,Video file name,charge_location,charge_date,charge_time,plugin_temp,unplug_temp,charge_departure,power_usage,cost,charge_notes,charge_id,date_time_local,dataset,location,year,month,day,date,time_lst,date_time_utc,temp_c,temp_flag,dew_point_temp_c,dew_point_temp_flag,rel_hum,rel_hum_flag,wind_dir_10s_deg,wind_dir_flag,wind_spd_km_h,wind_spd_flag,visibility_km,visibility_flag,stn_press_kpa,stn_press_flag,hmdx,hmdx_flag,wind_chill,wind_chill_flag,weather
1,1,1,Y,2018-11-15,16:36:00,Dim,Clear,458,6.5,NA,N,160,N,NA,Y,5,NA,85,17,43,23,16,139,B,N,Highway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-11-15T17:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2018,11,15,2018-11-15,10:00:00,2018-11-15T17:00:00Z,3.1,NA,-1.7,NA,71,NA,20,NA,9,NA,16.1,NA,93.55,NA,NA,NA,NA,NA,NA
2,1,1,Y,2018-11-16,08:10:00,Dark,Blizzard,476,-5,NA,N,140,N,NA,Y,-5,NA,81,14,54,14,21,99,B,Y,Highway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-11-16T08:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2018,11,16,2018-11-16,01:00:00,2018-11-16T08:00:00Z,3.4,NA,-0.8,NA,74,NA,NA,M,5,NA,16.1,NA,92.62,NA,NA,NA,NA,NA,NA
5,1,1,Y,2018-11-16,16:05:00,Dim,Snowy,496,-7.5,NA,N,72,N,NA,Y,-12,NA,86,22,35,38,26.7,42,0,Y,City/Highway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-11-16T16:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2018,11,16,2018-11-16,09:00:00,2018-11-16T16:00:00Z,-6.6,NA,-8.7,NA,85,NA,2,NA,32,NA,1.6,NA,94.19,NA,NA,NA,-15,NA,Snow
6,1,1,Y,2018-11-16,18:58:00,Dim,Snowy,516,-11.5,NA,N,43,N?E,The car changed mode on its own,Y,-10.5,NA,81,19,57,20,16.5,35,0,N,Highway,NA,(went into eco mode),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-11-16T19:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2018,11,16,2018-11-16,12:00:00,2018-11-16T19:00:00Z,-8.8,NA,-11.5,NA,81,NA,35,NA,22,NA,2.4,NA,94.58,NA,NA,NA,-17,NA,Snow
7,1,1,Y,2018-11-16,19:54:00,Dim,Snowy,536,-10.5,NA,N,32,E?+,The car changed mode on its own,Y,-17,NA,79,20,51,23,18.9,9,0,N,Highway,NA,(went into eco+ mode),NA,1 home,2018-11-16,20:22:00,-17,0,Y,39.1,NA,"Charge door was frozen shut, had to carefully coax it open",1,2018-11-16T20:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2018,11,16,2018-11-16,13:00:00,2018-11-16T20:00:00Z,-9.1,NA,-12.8,NA,75,NA,35,NA,21,NA,8.1,NA,94.64,NA,NA,NA,-17,NA,Snow
8,1,1,Y,2018-11-19,06:47:00,Dark,Partly covered,556,0,NA,Y,184,N,NA,Y,0.5,NA,67,14,60,14,17.2,167,0,Y,Highway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-11-19T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2018,11,19,2018-11-19,00:00:00,2018-11-19T07:00:00Z,1.7,NA,0.7,NA,93,NA,26,NA,8,NA,16.1,NA,93.52,NA,NA,NA,NA,NA,NA
9,1,1,Y,2018-11-19,07:09:00,Dark,Partly covered,570,0.5,NA,N,166,N,NA,Y,0.5,NA,84,3,40,10,17.8,163,0,Y,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-11-19T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2018,11,19,2018-11-19,00:00:00,2018-11-19T07:00:00Z,1.7,NA,0.7,NA,93,NA,26,NA,8,NA,16.1,NA,93.52,NA,NA,NA,NA,NA,NA
10,1,1,Y,2018-11-19,16:02:00,Sunny,Clear,573,6.5,NA,N,166,N,NA,Y,6.5,NA,88,1,14,7,12.5,168,0,Y,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-11-19T16:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2018,11,19,2018-11-19,09:00:00,2018-11-19T16:00:00Z,1,NA,0.7,NA,98,NA,20,NA,5,NA,16.1,NA,93.55,NA,NA,NA,NA,NA,NA
11,1,1,Y,2018-11-19,16:14:00,Sunny,Clear,575,6.5,NA,N,168,N,NA,Y,3.5,NA,77,18,49,22,18.5,150,0,Y,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-11-19T16:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2018,11,19,2018-11-19,09:00:00,2018-11-19T16:00:00Z,1,NA,0.7,NA,98,NA,20,NA,5,NA,16.1,NA,93.55,NA,NA,NA,NA,NA,NA
13,1,1,Y,2018-11-20,21:21:00,Dark,Clear,611,1,2.5,N,132,N,NA,Y,0,18,79,17,56,18,20.6,107,0,Y,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-11-20T21:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2018,11,20,2018-11-20,14:00:00,2018-11-20T21:00:00Z,8.7,NA,0.9,NA,58,NA,22,NA,17,NA,16.1,NA,92.82,NA,NA,NA,NA,NA,NA
15,1,1,Y,2018-11-21,06:54:00,Dim,Clear,646,-2,1,N,95,N,NA,Y,0,19,85,21,39,33,17.9,66,0,Y,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-11-21T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2018,11,21,2018-11-21,00:00:00,2018-11-21T07:00:00Z,-0.3,NA,-3.4,NA,79,NA,23,NA,11,NA,16.1,NA,92.84,NA,NA,NA,-4,NA,NA
16,1,2,Y,2018-11-21,07:43:00,Dim,Clear,668,0.5,14.5,N,66,N,NA,Y,-1,22,94,7,45,9,15.5,59,0,Y,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-11-21T08:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2018,11,21,2018-11-21,01:00:00,2018-11-21T08:00:00Z,-0.3,NA,-3.8,NA,77,NA,23,NA,15,NA,16.1,NA,92.81,NA,NA,NA,-5,NA,NA
18,1,1,Y,2018-11-21,16:07:00,Dim,Clear,684,8,13.5,N,57,N,NA,Y,6,19.5,80,17,53,20,18.5,32,0,Y,Highway,Y,Changed to eco mode on its own at the 50km range mark,NA,1 home,2018-11-21,16:34:00,6,2.5,Y,16.8,NA,NA,2,2018-11-21T16:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2018,11,21,2018-11-21,09:00:00,2018-11-21T16:00:00Z,1.3,NA,-4.6,NA,65,NA,21,NA,11,NA,16.1,NA,92.59,NA,NA,NA,NA,NA,NA
19,1,1,Y,2018-11-22,06:58:00,Dark,Clear,701,2.5,18,Y,109,N,Departure option is really nice to get into in the morning,Y,4.5,22.5,74,17,60,20,15,99,0,Y,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2018-11-22T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2018,11,22,2018-11-22,00:00:00,2018-11-22T07:00:00Z,6.9,NA,-5.1,NA,42,NA,21,NA,26,NA,16.1,NA,92.03,NA,NA,NA,NA,NA,NA
20,1,1,Y,2018-11-22,08:06:00,Dark,Clear,719,3.5,4.5,N,101,N,NA,Y,3.5,20,78,17,53,19,19.6,69,0,Y,Highway,Y,NA,NA,1 home,2018-11-22,20:27:00,3.5,-9.5,Y,26.3,NA,NA,3,2018-11-22T08:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2018,11,22,2018-11-22,01:00:00,2018-11-22T08:00:00Z,6.8,NA,-4.6,NA,44,NA,22,NA,34,NA,16.1,NA,91.99,NA,NA,NA,NA,NA,NA
