Charge Location,Date,Time,Prior Trip #,Plug in temp ?C,Unplug temp ?C,Departure utilized ,Power usage Kwh,Cost,"          Notes: convenience issues/benefits, plug availability, did the car need to be moved"
1 home,11/16/18,20:22,7,-17,0,Y,39.1,,"Charge door was frozen shut, had to carefully coax it open"
1 home,11/21/18,16:34,18,6,2.5,Y,16.8,,
1 home,11/22/18,20:27,20,3.5,-9.5,Y,26.3,,
1 home,11/26/18,16:54,24,-1,2.5,Y,14.6,,
1 home,11/27/18,19:19,28,4,1,Y,10.9,,
1 home,11/28/18,20:10,35,3,0.5,Y,12.1,,
1 home,11/29/18,16:10,38,0,-2,Y,19.9,,Departure was set for 6:40 actual departure 6:51
1 home,11/30/18,22:20,44,-2,-3,N,7.8,,
1 home,12/01/18,13:10,46,-4.5,-6,N,24.2,,
1 home,12/02/18,17:07,50,-9.5,-5.5,Y,14,,Charge door was frozen shut again
1 home,12/03/18,17:29,54,-5.5,-11.5,Y,NA,,"Something appeard to have happened to power supply, Log was reset and vehicle didn't appear to be warm or fully charged"
1 home,12/04/18,17:09,57,-3.5,-8,Y,14.6,,
1 home,12/05/18,16:25,63,-9,-14,Y,14.6,,
1 home,12/06/18,20:24,69,-14,-15,Y,11.7,,
1 home,12/07/18,16:55,72,-6,-0.5,Y,21.8,,
1 home,12/10/18,17:08,74,1,-5.5,Y,9,,
1 home,12/11/18,17:16,76,2,2,Y,9.9,,
1 home,12/12/18,16:37,83,0,1,Y,16.1,,
1home,12/13/18,17:29,88,1.5,2.5,N,11.1,,
1home,12/14/18,18:13,93,5,5.5,N,19.6,,
1home,12/16/18,15:33,96,5,3,Y,6.2,,Departure sent for 6:40
1home,12/17/18,16:53,97,7,3,Y,8.4,,
1home,12/18/18,21:02,99,4.5,1.5,Y,9.1,,
1home,12/20/18,11:49,110,6,3.5,N,22.4,,
1home,12/21/18,16:48,119,-1.5,-5,N,18.1,,
1home,12/22/18,9:35,121,-6,-1.5,N,14.6,,
1home,12/23/18,20:19,123,-4,-7,Y,8,,
1home,12/24/18,21:58,125,-6.5,-5,N,25.4,,
1home,12/26/18,17:53,127,-7.5,-9.5,N,12.7,,
1home,12/28/18,8:37,130,-9,-3.5,N,11.7,,
1home,12/30/18,14:12,135,-11.5,-4,N,17.9,,
1home,01/01/19,15:46,139,1.5,3,N,15.7,,
