Trip #,Post-trip,Outside temp ?C,Inside Temp ?C,Blue score,Distance Since start Km,Average Speed Since start Km/hr,Time Since start (includes key on),Economy Since start Kwh/100km,range indicator Km,Brake Mode,Climate control usage,Road style,Reset Meters,"                       Notes: Driving area, warnings, reminders, incedents, issues, feeling"
1,Y,5,,85,17,43,:23,16,139,B,N,Highway,,
2,Y,-5,,81,14,54,:14,21,99,B,Y,Highway,,
3,Y,-6,,98,3,40,:10,24.3,89,0,Y,City/Highway,,
4,Y,-8.5,,87,2,15,:10,38.7,75,0,Y,City ,,Not using a braking mode this car coasts really far!
5,Y,-12,,86,22,35,:38,26.7,42,0,Y,City/Highway,,
6,Y,-10.5,,81,19,57,:20,16.5,35,0,N,Highway,, (went into eco mode)
7,Y,-17,,79,20,51,:23,18.9,9,0,N,Highway,, (went into eco+ mode)
8,Y,0.5,,67,14,60,:14,17.2,167,0,Y,Highway,,
9,Y,0.5,,84,3,40,:10,17.8,163,0,Y,City/Highway,Y,
10,Y,6.5,,88,1,14,:07,12.5,168,0,Y,City ,Y,
11,Y,3.5,,77,18,49,:22,18.5,150,0,Y,Highway,Y,
12,Y,-1,15.5,81,17,54,:19,17.9,132,0,Y,Highway,Y,
13,Y,0,18,79,17,56,:18,20.6,107,0,Y,Highway,Y,
14,Y,0,17,78,18,32,:34,17.7,93,0,Y,Highway,Y,  includes wait in drive-through
15,Y,0,19,85,21,39,:33,17.9,66,0,Y,City/Highway,Y,
16,Y,-1,22,94,7,45,:09,15.5,59,0,Y,City ,Y,
17,Y,2,19.5,89,8,38,:13,16.4,52,0,Y,City/Highway,Y,
18,Y,6,19.5,80,17,53,:20,18.5,32,0,Y,Highway,Y,Changed to eco mode on its own at the 50km range mark
19,Y,4.5,22.5,74,17,60,:20,15,99,0,Y,Highway,Y,
20,Y,3.5,20,78,17,53,:19,19.6,69,0,Y,Highway,Y,
21,Y,-11,16,74,17,52,:20,24.8,136,0,Y,Highway,Y,
22,Y,-9,,90,1,11,:08,52.9,129,0,Y,City ,Y, My temp gun malfunction for inside temp
23,Y,-8,,86,1,12,:09,56.8,117,0,Y,City ,Y,
24,Y,1,20,80,17,40,:26,20.3,113,0,Y,Highway,Y,
25,Y,4,20,78,17,56,:18,15.8,169,B,Y,Highway,Y,
26,Y,8.5,18,96,4,25,:10,18.6,167,B,Y,City ,Y,
27,Y,7.5,20.5,96,4,26,:10,12.8,168,B,Y,City ,Y,
28,Y,4,20.5,87,18,45,:25,18,147,B,Y,City/Highway,Y,
29,Y,1,20.5,78,17,58,:18,14.9,185,B,Y,Highway,Y,
