Location,Start_Date,Start_Time,End_Date,End_Time,Energy_Used,Duration(s),Charge rate (kWh/min),
AAE-03308,4-Mar,19:30:45,4-Mar,20:12:15,4.775,0:41:30,8.59,
AAE-03308,5-Mar,11:54:18,5-Mar,13:28:15,9.927,1:33:57,9.37,
AAE-03308,5-Mar,13:33:44,5-Mar,15:17:58,11.921,1:44:14,8.72,
AAE-03308,6-Mar,15:54:47,6-Mar,16:30:09,4.082,0:35:22,8.57,
AAE-03308,8-Mar,20:41,8-Mar,22:14,10.726,1:33:00,8.67,
AAE-03308,11-Mar,17:35,11-Mar,19:05,10.462,1:30:00,8.60,
AAE-03308,12-Mar,17:31,12-Mar,19:44,16.382,2:13:00,8.12,
AAE-03308,16-Mar,15:40,16-Mar,17:04,10.8,1:24:00,7.78,
AAE-03308,18-Mar,17:24,18-Mar,19:35,16.299,2:11:00,8.04,
AAE-03308,19-Mar,18:30,19-Mar,19:36,8.715,1:06:00,7.57,
AAE-03308,20-Mar,16:51,20-Mar,18:01,9.253,1:10:00,7.57,
AAE-03308,27-Mar,16:38,25-Mar,17:55,5.726,1:17:00,13.45,
AAE-03308,27-Mar,15:27,27-Mar,17:37,16.321,2:10:00,7.97,
AAE-03308,2-Apr,21:14,2-Apr,23:41,18.042,2:27:00,8.15,
AAE-03308,3-Apr,21:43,3-Apr,23:12,11.472,1:29:00,7.76,
AAE-03308,4-Apr,16:52,4-Apr,17:46,6.199,0:54:00,8.71,
AAE-03308,4-Apr,19:45,4-Apr,20:01,2.713,0:16:00,5.90,
AAE-03308,6-Apr,20:15,6-Apr,21:13,6.599,0:58:00,8.79,
AAE-03308,7-Apr,15:00,7-Apr,16:07,8.798,1:07:00,7.62,
AAE-03308,8-Apr,17:12,8-Apr,18:16,8.345,1:04:00,7.67,
AAE-03308,9-Apr,17:12,9-Apr,18:23,8.926,1:11:00,7.95,
AAE-03308,16-Apr,17:37,16-Apr,19:42,15.719,2:05:00,7.95,
AAE-03308,29-Apr,18:48,29-Apr,21:34,19.138,2:46:00,8.67,
AAE-03308,30-Apr,17:21,30-Apr,18:49,11,1:28:00,8.00,
AAE-03308,13-May,21:04,13-May,23:14,14.982,2:10:00,8.68,
AAE-03309,14-May,21:41,14-May,22:59,8.798,1:18:00,8.87,
AAE-03310,16-May,16:29,16-May,18:30,13.559,2:01:00,8.92,
AAE-03311,17-May,17:42,17-May,19:39,13.989,1:57:00,8.36,
AAE-03312,21-May,16:53,21-May,17:43,5.731,0:50:00,8.72,
AAE-03313,23-May,16:28,23-May,19:26,20.66,2:58:00,8.62,
AAE-03314,18-Jun,15:40,18-Jun,16:36,6.414,0:56:00,8.73,
AAE-03315,19-Jun,20:44,19-Jun,23:30,19.136,2:46:00,8.67,
AAE-03315,22-Jun,11:37,22-Jun,2:50,21.944,2:13:00,6.06,
,,,,,,,,
,,,,,,,Average Rate,8.36
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,17:42,,19:39,,,
