"Station Name","MEDICINE HAT"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","50.02"
"Longitude","-110.72"
"Elevation","716.90"
"Climate Identifier","3034479"
"WMO Identifier","71247"
"TC Identifier","YXH"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-10-01 00:00","2018","10","01","00:00","0.8","","-2.5","","79","","6","","8","","16.1","","93.23","","","","","","NA"
"2018-10-01 01:00","2018","10","01","01:00","0.9","","-1.8","","82","","7","","8","","16.1","","93.14","","","","","","NA"
"2018-10-01 02:00","2018","10","01","02:00","1.7","","-1.0","","82","","13","","8","","16.1","","93.10","","","","","","NA"
"2018-10-01 03:00","2018","10","01","03:00","1.7","","-0.8","","84","","15","","5","","16.1","","93.05","","","","","","NA"
"2018-10-01 04:00","2018","10","01","04:00","1.9","","-0.4","","85","","15","","8","","16.1","","93.03","","","","","","NA"
"2018-10-01 05:00","2018","10","01","05:00","2.0","","-0.6","","83","","17","","11","","16.1","","92.98","","","","","","NA"
"2018-10-01 06:00","2018","10","01","06:00","0.8","","-1.6","","84","","15","","11","","16.1","","92.93","","","","","","NA"
"2018-10-01 07:00","2018","10","01","07:00","0.2","","-1.4","","89","","10","","9","","16.1","","92.90","","","","","","NA"
"2018-10-01 08:00","2018","10","01","08:00","1.0","","-1.5","","84","","7","","9","","16.1","","92.90","","","","","","NA"
"2018-10-01 09:00","2018","10","01","09:00","3.1","","-0.3","","78","","4","","9","","16.1","","92.91","","","","","","NA"
"2018-10-01 10:00","2018","10","01","10:00","5.3","","-0.2","","68","","1","","13","","16.1","","92.88","","","","","","NA"
"2018-10-01 11:00","2018","10","01","11:00","6.4","","-0.3","","62","","1","","13","","16.1","","92.89","","","","","","NA"
"2018-10-01 12:00","2018","10","01","12:00","7.2","","0.2","","61","","4","","5","","16.1","","92.90","","","","","","NA"
"2018-10-01 13:00","2018","10","01","13:00","8.3","","0.4","","57","","36","","9","","16.1","","92.89","","","","","","NA"
"2018-10-01 14:00","2018","10","01","14:00","9.3","","0.8","","55","","36","","18","","16.1","","92.87","","","","","","NA"
"2018-10-01 15:00","2018","10","01","15:00","8.2","","0.9","","60","","35","","24","","16.1","","92.88","","","","","","NA"
"2018-10-01 16:00","2018","10","01","16:00","7.7","","0.7","","61","","1","","24","","16.1","","92.91","","","","","","NA"
"2018-10-01 17:00","2018","10","01","17:00","6.7","","0.4","","64","","1","","22","","16.1","","92.98","","","","","","NA"
"2018-10-01 18:00","2018","10","01","18:00","5.1","","-0.1","","69","","36","","22","","16.1","","93.02","","","","","","NA"
"2018-10-01 19:00","2018","10","01","19:00","4.1","","-0.5","","72","","2","","15","","16.1","","93.04","","","","","","NA"
"2018-10-01 20:00","2018","10","01","20:00","4.1","","-0.9","","70","","4","","13","","16.1","","93.09","","","","","","NA"
"2018-10-01 21:00","2018","10","01","21:00","3.9","","-0.8","","72","","3","","17","","16.1","","93.11","","","","","","NA"
"2018-10-01 22:00","2018","10","01","22:00","3.5","","-1.0","","73","","3","","18","","16.1","","93.10","","","","","","NA"
"2018-10-01 23:00","2018","10","01","23:00","3.0","","-0.6","","77","","2","","21","","16.1","","93.09","","","","","","NA"
"2018-10-02 00:00","2018","10","02","00:00","2.5","","-1.0","","78","","3","","17","","16.1","","93.04","","","","","","NA"
