"Station Name","MEDICINE HAT"
"Province","ALBERTA"
"Latitude","50.02"
"Longitude","-110.72"
"Elevation","716.90"
"Climate Identifier","3034479"
"WMO Identifier","71247"
"TC Identifier","YXH"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-01-01 00:00","2018","01","01","00:00","-34.0","","-37.8","","70","","28","","4","","16.1","","94.86","","","","-39","","NA"
"2018-01-01 01:00","2018","01","01","01:00","-35.0","","-38.8","","69","","24","","5","","4.8","","94.87","","","","-41","","Haze"
"2018-01-01 02:00","2018","01","01","02:00","-35.6","","-39.7","","67","","21","","8","","16.1","","94.89","","","","-45","","NA"
"2018-01-01 03:00","2018","01","01","03:00","-36.2","","-40.3","","67","","20","","5","","16.1","","94.92","","","","-43","","NA"
"2018-01-01 04:00","2018","01","01","04:00","-35.5","","-39.6","","67","","23","","8","","16.1","","94.88","","","","-44","","NA"
"2018-01-01 05:00","2018","01","01","05:00","-35.1","","-39.0","","68","","18","","5","","16.1","","94.85","","","","-41","","NA"
"2018-01-01 06:00","2018","01","01","06:00","-33.8","","-37.7","","69","","","M","4","","16.1","","94.87","","","","-39","","NA"
"2018-01-01 07:00","2018","01","01","07:00","-34.5","","-38.5","","68","","19","","4","","16.1","","94.86","","","","-39","","NA"
"2018-01-01 08:00","2018","01","01","08:00","-33.5","","-37.1","","71","","22","","8","","16.1","","94.86","","","","-42","","NA"
"2018-01-01 09:00","2018","01","01","09:00","-30.7","","-34.1","","73","","22","","18","","16.1","","94.84","","","","-43","","NA"
"2018-01-01 10:00","2018","01","01","10:00","-29.2","","-32.5","","74","","22","","9","","16.1","","94.82","","","","-38","","NA"
"2018-01-01 11:00","2018","01","01","11:00","-28.0","","-31.2","","75","","22","","11","","16.1","","94.79","","","","-37","","NA"
"2018-01-01 12:00","2018","01","01","12:00","-25.1","","-27.9","","78","","20","","15","","16.1","","94.70","","","","-35","","NA"
"2018-01-01 13:00","2018","01","01","13:00","-24.9","","-27.7","","78","","14","","9","","16.1","","94.59","","","","-33","","NA"
"2018-01-01 14:00","2018","01","01","14:00","-24.3","","-27.0","","79","","10","","4","","16.1","","94.44","","","","-28","","NA"
"2018-01-01 15:00","2018","01","01","15:00","-23.5","","-26.2","","79","","4","","4","","16.1","","94.42","","","","-27","","NA"
