"Station Name","MEDICINE HAT"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","50.02"
"Longitude","-110.72"
"Elevation","716.90"
"Climate Identifier","3034479"
"WMO Identifier","71247"
"TC Identifier","YXH"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-06-01 00:00","2018","06","01","00:00","11.0","","9.4","","90","","5","","21","","16.1","","92.70","","","","","","Rain"
"2018-06-01 01:00","2018","06","01","01:00","10.0","","9.6","","97","","4","","21","","14.5","","92.67","","","","","","Moderate Rain"
"2018-06-01 02:00","2018","06","01","02:00","9.8","","9.7","","99","","5","","18","","14.5","","92.66","","","","","","Moderate Rain"
"2018-06-01 03:00","2018","06","01","03:00","9.6","","9.6","","100","","5","","21","","9.7","","92.62","","","","","","Moderate Rain,Fog"
"2018-06-01 04:00","2018","06","01","04:00","9.4","","9.4","","100","","5","","22","","8.1","","92.61","","","","","","Moderate Rain,Fog"
"2018-06-01 05:00","2018","06","01","05:00","9.2","","9.2","","100","","4","","22","","11.3","","92.57","","","","","","Rain"
"2018-06-01 06:00","2018","06","01","06:00","9.4","","9.4","","100","","3","","15","","11.3","","92.59","","","","","","Rain"
"2018-06-01 07:00","2018","06","01","07:00","9.6","","9.6","","100","","1","","11","","4.8","","92.66","","","","","","Moderate Rain,Fog"
"2018-06-01 08:00","2018","06","01","08:00","10.0","","10.0","","100","","34","","18","","6.4","","92.63","","","","","","Rain,Fog"
"2018-06-01 09:00","2018","06","01","09:00","10.4","","10.3","","99","","36","","18","","8.1","","92.69","","","","","","Rain,Fog"
"2018-06-01 10:00","2018","06","01","10:00","10.5","","10.2","","98","","32","","21","","16.1","","92.74","","","","","","Rain"
"2018-06-01 11:00","2018","06","01","11:00","10.2","","9.9","","98","","35","","22","","14.5","","92.82","","","","","","Rain"
"2018-06-01 12:00","2018","06","01","12:00","10.4","","10.0","","97","","35","","18","","16.1","","92.85","","","","","","NA"
"2018-06-01 13:00","2018","06","01","13:00","10.5","","9.8","","95","","34","","22","","8.1","","92.89","","","","","","Rain,Fog"
"2018-06-01 14:00","2018","06","01","14:00","11.2","","9.5","","89","","33","","24","","16.1","","92.97","","","","","","NA"
"2018-06-01 15:00","2018","06","01","15:00","11.2","","9.9","","92","","31","","15","","16.1","","93.03","","","","","","NA"
"2018-06-01 16:00","2018","06","01","16:00","13.0","","8.5","","74","","29","","18","","16.1","","93.09","","","","","","NA"
"2018-06-01 17:00","2018","06","01","17:00","13.3","","8.0","","70","","33","","18","","16.1","","93.10","","","","","","NA"
"2018-06-01 18:00","2018","06","01","18:00","14.1","","7.9","","66","","29","","21","","16.1","","93.12","","","","","","NA"
"2018-06-01 19:00","2018","06","01","19:00","12.6","","7.6","","71","","29","","15","","16.1","","93.18","","","","","","NA"
"2018-06-01 20:00","2018","06","01","20:00","11.4","","8.3","","81","","28","","5","","16.1","","93.20","","","","","","NA"
"2018-06-01 21:00","2018","06","01","21:00","10.0","","8.8","","92","","26","","5","","16.1","","93.25","","","","","","NA"
"2018-06-01 22:00","2018","06","01","22:00","8.9","","8.2","","95","","22","","8","","16.1","","93.32","","","","","","NA"
"2018-06-01 23:00","2018","06","01","23:00","9.3","","9.1","","99","","19","","8","","16.1","","93.39","","","","","","NA"
"2018-06-02 00:00","2018","06","02","00:00","7.8","","7.8","","100","","26","","8","","16.1","","93.35","","","","","","NA"
"2018-06-02 01:00","2018","06","02","01:00","7.3","","7.3","","100","","24","","8","","16.1","","93.34","","","","","","NA"
"2018-06-02 02:00","2018","06","02","02:00","6.4","","6.4","","100","","20","","9","","16.1","","93.34","","","","","","NA"
"2018-06-02 03:00","2018","06","02","03:00","6.3","","6.2","","99","","16","","8","","16.1","","93.34","","","","","","NA"
"2018-06-02 04:00","2018","06","02","04:00","8.4","","6.7","","89","","29","","5","","16.1","","93.37","","","","","","NA"
"2018-06-02 05:00","2018","06","02","05:00","8.1","","6.6","","90","","23","","8","","16.1","","93.38","","","","","","NA"
"2018-06-02 06:00","2018","06","02","06:00","10.6","","7.3","","80","","26","","18","","16.1","","93.41","","","","","","NA"
"2018-06-02 07:00","2018","06","02","07:00","13.0","","7.0","","67","","27","","28","","16.1","","93.46","","","","","","NA"
"2018-06-02 08:00","2018","06","02","08:00","14.9","","7.1","","59","","28","","32","","16.1","","93.49","","","","","","NA"
"2018-06-02 09:00","2018","06","02","09:00","17.1","","7.6","","53","","28","","26","","16.1","","93.52","","","","","","NA"
"2018-06-02 10:00","2018","06","02","10:00","18.7","","7.8","","49","","27","","21","","16.1","","93.52","","","","","","NA"
"2018-06-02 11:00","2018","06","02","11:00","20.6","","6.6","","40","","29","","17","","16.1","","93.51","","","","","","NA"
"2018-06-02 12:00","2018","06","02","12:00","21.7","","4.9","","33","","28","","28","","16.1","","93.49","","","","","","NA"
"2018-06-02 13:00","2018","06","02","13:00","20.1","","3.7","","34","","29","","17","","16.1","","93.47","","","","","","NA"
"2018-06-02 14:00","2018","06","02","14:00","21.7","","3.4","","30","","","M","4","","16.1","","93.44","","","","","","NA"
"2018-06-02 15:00","2018","06","02","15:00","22.8","","3.5","","28","","26","","21","","16.1","","93.43","","","","","","NA"
"2018-06-02 16:00","2018","06","02","16:00","23.0","","2.9","","26","","28","","13","","16.1","","93.41","","","","","","NA"
"2018-06-02 17:00","2018","06","02","17:00","23.1","","4.4","","29","","24","","24","","16.1","","93.38","","","","","","NA"
"2018-06-02 18:00","2018","06","02","18:00","21.4","","5.3","","35","","23","","18","","16.1","","93.39","","","","","","NA"
"2018-06-02 19:00","2018","06","02","19:00","19.8","","8.2","","47","","23","","9","","16.1","","93.40","","","","","","NA"
"2018-06-02 20:00","2018","06","02","20:00","17.9","","8.3","","53","","23","","9","","16.1","","93.40","","","","","","NA"
"2018-06-02 21:00","2018","06","02","21:00","16.3","","8.8","","61","","19","","5","","16.1","","93.43","","","","","","NA"
"2018-06-02 22:00","2018","06","02","22:00","12.9","","9.2","","78","","20","","5","","16.1","","93.45","","","","","","NA"
