"Station Name","MEDICINE HAT"
"Province","ALBERTA"
"Latitude","50.02"
"Longitude","-110.72"
"Elevation","716.90"
"Climate Identifier","3034479"
"WMO Identifier","71247"
"TC Identifier","YXH"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-02-01 00:00","2018","02","01","00:00","-19.6","","-23.6","","71","","8","","8","","16.1","","94.24","","","","-26","","NA"
"2018-02-01 01:00","2018","02","01","01:00","-19.1","","-23.1","","71","","7","","5","","16.1","","94.23","","","","-23","","NA"
"2018-02-01 02:00","2018","02","01","02:00","-18.8","","-22.9","","71","","","","0","","16.1","","94.22","","","","","","NA"
"2018-02-01 03:00","2018","02","01","03:00","-18.6","","-22.6","","71","","","","0","","16.1","","94.19","","","","","","NA"
"2018-02-01 04:00","2018","02","01","04:00","-19.0","","-22.7","","73","","","","0","","16.1","","94.19","","","","","","NA"
"2018-02-01 05:00","2018","02","01","05:00","-18.6","","-22.0","","75","","","M","4","","16.1","","94.18","","","","-22","","NA"
"2018-02-01 06:00","2018","02","01","06:00","-18.1","","-22.2","","71","","7","","11","","16.1","","94.15","","","","-25","","NA"
"2018-02-01 07:00","2018","02","01","07:00","-17.8","","-21.9","","71","","8","","9","","16.1","","94.12","","","","-24","","Snow"
"2018-02-01 08:00","2018","02","01","08:00","-18.0","","-21.4","","75","","10","","5","","16.1","","94.07","","","","-22","","NA"
"2018-02-01 09:00","2018","02","01","09:00","-17.2","","-20.7","","74","","6","","8","","16.1","","94.06","","","","-23","","NA"
"2018-02-01 10:00","2018","02","01","10:00","-16.1","","-20.7","","68","","7","","8","","16.1","","94.03","","","","-22","","NA"
"2018-02-01 11:00","2018","02","01","11:00","-15.1","","-20.2","","66","","9","","11","","16.1","","93.97","","","","-22","","NA"
"2018-02-01 12:00","2018","02","01","12:00","-13.8","","-19.2","","64","","","","0","","16.1","","93.91","","","","","","NA"
"2018-02-01 13:00","2018","02","01","13:00","-13.2","","-19.0","","62","","8","","5","","16.1","","93.83","","","","-17","","NA"
"2018-02-01 14:00","2018","02","01","14:00","-12.3","","-18.1","","62","","7","","9","","16.1","","93.77","","","","-18","","NA"
"2018-02-01 15:00","2018","02","01","15:00","-11.7","","-17.0","","65","","5","","9","","16.1","","93.75","","","","-17","","NA"
"2018-02-01 16:00","2018","02","01","16:00","-11.9","","-16.5","","69","","4","","5","","16.1","","93.79","","","","-15","","NA"
"2018-02-01 17:00","2018","02","01","17:00","-12.6","","-16.8","","71","","3","","13","","16.1","","93.81","","","","-19","","NA"
"2018-02-01 18:00","2018","02","01","18:00","-12.8","","-17.0","","71","","36","","15","","16.1","","93.87","","","","-20","","NA"
"2018-02-01 19:00","2018","02","01","19:00","-13.6","","-18.0","","70","","5","","9","","16.1","","93.89","","","","-19","","NA"
"2018-02-01 20:00","2018","02","01","20:00","-15.8","","-18.8","","78","","1","","8","","16.1","","93.85","","","","-21","","NA"
"2018-02-01 21:00","2018","02","01","21:00","-16.3","","-19.0","","80","","35","","9","","16.1","","93.85","","","","-22","","NA"
"2018-02-01 22:00","2018","02","01","22:00","-16.0","","-18.9","","79","","1","","13","","16.1","","93.83","","","","-24","","NA"
"2018-02-01 23:00","2018","02","01","23:00","-15.8","","-18.8","","78","","36","","8","","16.1","","93.84","","","","-21","","NA"
"2018-02-02 00:00","2018","02","02","00:00","-14.9","","-18.7","","73","","5","","5","","16.1","","93.81","","","","-18","","NA"
"2018-02-02 01:00","2018","02","02","01:00","-14.7","","-18.3","","74","","1","","8","","16.1","","93.80","","","","-20","","NA"
"2018-02-02 02:00","2018","02","02","02:00","-14.8","","-18.0","","77","","36","","8","","16.1","","93.75","","","","-20","","NA"
"2018-02-02 03:00","2018","02","02","03:00","-14.8","","-18.3","","75","","5","","11","","16.1","","93.69","","","","-21","","NA"
"2018-02-02 04:00","2018","02","02","04:00","-14.9","","-18.6","","74","","6","","11","","16.1","","93.69","","","","-21","","NA"
"2018-02-02 05:00","2018","02","02","05:00","-15.0","","-18.8","","73","","5","","11","","16.1","","93.71","","","","-22","","NA"
"2018-02-02 06:00","2018","02","02","06:00","-15.3","","-19.0","","74","","7","","11","","16.1","","93.65","","","","-22","","NA"
"2018-02-02 07:00","2018","02","02","07:00","-15.5","","-18.7","","77","","7","","11","","16.1","","93.66","","","","-22","","NA"
"2018-02-02 08:00","2018","02","02","08:00","-15.4","","-18.4","","78","","7","","11","","16.1","","93.57","","","","-22","","NA"
