"Station Name","MEDICINE HAT"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","50.02"
"Longitude","-110.72"
"Elevation","716.90"
"Climate Identifier","3034479"
"WMO Identifier","71247"
"TC Identifier","YXH"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-11-01 00:00","2018","11","01","00:00","1.9","","-2.6","","72","","23","","11","","16.1","","92.36","","","","","","NA"
"2018-11-01 01:00","2018","11","01","01:00","2.3","","-2.4","","71","","17","","17","","16.1","","92.35","","","","","","NA"
"2018-11-01 02:00","2018","11","01","02:00","5.8","","-2.1","","57","","27","","35","","16.1","","92.39","","","","","","NA"
"2018-11-01 03:00","2018","11","01","03:00","4.3","","-3.2","","58","","29","","28","","16.1","","92.56","","","","","","NA"
"2018-11-01 04:00","2018","11","01","04:00","2.6","","-2.7","","68","","29","","24","","16.1","","92.70","","","","","","NA"
"2018-11-01 05:00","2018","11","01","05:00","1.7","","-2.4","","74","","26","","15","","16.1","","92.81","","","","","","NA"
"2018-11-01 06:00","2018","11","01","06:00","2.9","","-2.0","","70","","27","","22","","16.1","","92.91","","","","","","NA"
"2018-11-01 07:00","2018","11","01","07:00","3.8","","-1.2","","70","","30","","30","","16.1","","92.96","","","","","","NA"
"2018-11-01 08:00","2018","11","01","08:00","3.9","","-1.2","","69","","30","","21","","16.1","","93.09","","","","","","NA"
"2018-11-01 09:00","2018","11","01","09:00","4.3","","-1.1","","68","","33","","28","","16.1","","93.18","","","","","","NA"
"2018-11-01 10:00","2018","11","01","10:00","4.3","","-1.3","","67","","33","","34","","16.1","","93.27","","","","","","NA"
"2018-11-01 11:00","2018","11","01","11:00","4.7","","-1.3","","65","","34","","24","","16.1","","93.30","","","","","","NA"
"2018-11-01 12:00","2018","11","01","12:00","5.1","","-1.4","","63","","32","","24","","16.1","","93.36","","","","","","NA"
"2018-11-01 13:00","2018","11","01","13:00","5.3","","-1.6","","61","","33","","26","","16.1","","93.38","","","","","","NA"
"2018-11-01 14:00","2018","11","01","14:00","5.2","","-2.2","","59","","33","","18","","16.1","","93.38","","","","","","NA"
"2018-11-01 15:00","2018","11","01","15:00","5.5","","-2.8","","55","","33","","17","","16.1","","93.40","","","","","","NA"
"2018-11-01 16:00","2018","11","01","16:00","5.3","","-2.8","","56","","35","","9","","16.1","","93.37","","","","","","NA"
"2018-11-01 17:00","2018","11","01","17:00","5.0","","-2.6","","58","","","M","4","","16.1","","93.37","","","","","","NA"
"2018-11-01 18:00","2018","11","01","18:00","3.7","","-2.3","","65","","7","","9","","16.1","","93.35","","","","","","NA"
"2018-11-01 19:00","2018","11","01","19:00","2.2","","-2.5","","71","","9","","9","","16.1","","93.27","","","","","","NA"
"2018-11-01 20:00","2018","11","01","20:00","1.2","","-2.8","","75","","8","","11","","16.1","","93.22","","","","","","NA"
"2018-11-01 21:00","2018","11","01","21:00","0.3","","-3.1","","78","","9","","11","","16.1","","93.14","","","","","","NA"
"2018-11-01 22:00","2018","11","01","22:00","0.7","","-3.4","","74","","9","","11","","16.1","","93.07","","","","","","NA"
"2018-11-01 23:00","2018","11","01","23:00","0.7","","-3.2","","75","","9","","11","","16.1","","92.96","","","","","","NA"
"2018-11-02 00:00","2018","11","02","00:00","1.0","","-2.9","","75","","7","","9","","16.1","","92.84","","","","","","NA"
"2018-11-02 01:00","2018","11","02","01:00","1.6","","-2.8","","73","","7","","9","","16.1","","92.74","","","","","","NA"
"2018-11-02 02:00","2018","11","02","02:00","1.5","","-1.8","","79","","8","","9","","16.1","","92.65","","","","","","Freezing Rain"
"2018-11-02 03:00","2018","11","02","03:00","1.4","","-0.4","","88","","7","","8","","14.5","","92.53","","","","","","Freezing Rain"
"2018-11-02 04:00","2018","11","02","04:00","1.8","","0.8","","93","","8","","13","","12.9","","92.38","","","","","","Freezing Rain"
"2018-11-02 05:00","2018","11","02","05:00","1.6","","0.7","","94","","7","","13","","16.1","","92.21","","","","","","Freezing Rain"
"2018-11-02 06:00","2018","11","02","06:00","2.2","","0.9","","91","","6","","13","","16.1","","92.06","","","","","","Freezing Rain"
"2018-11-02 07:00","2018","11","02","07:00","2.8","","1.6","","92","","6","","9","","16.1","","91.91","","","","","","Freezing Rain"
"2018-11-02 08:00","2018","11","02","08:00","3.0","","2.6","","97","","6","","9","","16.1","","91.79","","","","","","Rain"
"2018-11-02 09:00","2018","11","02","09:00","3.7","","3.6","","99","","34","","8","","16.1","","91.71","","","","","","Rain"
"2018-11-02 10:00","2018","11","02","10:00","4.4","","4.4","","100","","3","","8","","16.1","","91.63","","","","","","Rain"
"2018-11-02 11:00","2018","11","02","11:00","4.7","","4.7","","100","","3","","5","","16.1","","91.60","","","","","","Rain"
"2018-11-02 12:00","2018","11","02","12:00","5.1","","4.7","","97","","","","0","","16.1","","91.53","","","","","","Rain"
"2018-11-02 13:00","2018","11","02","13:00","7.3","","5.5","","88","","21","","9","","16.1","","91.53","","","","","","NA"
"2018-11-02 14:00","2018","11","02","14:00","5.2","","4.5","","95","","34","","24","","16.1","","91.71","","","","","","NA"
"2018-11-02 15:00","2018","11","02","15:00","4.3","","3.1","","92","","32","","28","","16.1","","91.88","","","","","","NA"
"2018-11-02 16:00","2018","11","02","16:00","2.8","","2.4","","97","","32","","22","","12.9","","92.09","","","","","","NA"
"2018-11-02 17:00","2018","11","02","17:00","2.0","","1.0","","93","","30","","22","","16.1","","92.27","","","","","","NA"
"2018-11-02 18:00","2018","11","02","18:00","1.2","","0.5","","95","","32","","28","","14.5","","92.44","","","","","","Freezing Rain"
"2018-11-02 19:00","2018","11","02","19:00","0.8","","0.5","","98","","33","","28","","8.1","","92.64","","","","","","Freezing Rain,Fog"
"2018-11-02 20:00","2018","11","02","20:00","0.6","","0.2","","97","","34","","24","","16.1","","92.78","","","","","","Freezing Rain"
"2018-11-02 21:00","2018","11","02","21:00","0.5","","-0.4","","94","","34","","21","","16.1","","92.91","","","","","","NA"
"2018-11-02 22:00","2018","11","02","22:00","0.4","","-0.5","","94","","35","","18","","16.1","","93.03","","","","","","NA"
"2018-11-02 23:00","2018","11","02","23:00","0.3","","-0.6","","94","","35","","15","","16.1","","93.13","","","","","","NA"
"2018-11-03 00:00","2018","11","03","00:00","0.2","","-0.1","","98","","31","","11","","11.3","","93.21","","","","","","Snow"
"2018-11-03 01:00","2018","11","03","01:00","0.1","","0.0","","99","","29","","11","","8.1","","93.29","","","","","","Snow"
"2018-11-03 02:00","2018","11","03","02:00","0.1","","-0.3","","97","","29","","8","","16.1","","93.30","","","","","","Snow"
"2018-11-03 03:00","2018","11","03","03:00","0.2","","-0.5","","95","","27","","8","","16.1","","93.31","","","","","","Snow"
"2018-11-03 04:00","2018","11","03","04:00","0.3","","-0.4","","95","","23","","5","","16.1","","93.32","","","","","","NA"
"2018-11-03 05:00","2018","11","03","05:00","0.3","","-1.1","","90","","27","","4","","16.1","","93.31","","","","","","NA"
"2018-11-03 06:00","2018","11","03","06:00","0.2","","-0.8","","93","","15","","8","","16.1","","93.38","","","","","","NA"
"2018-11-03 07:00","2018","11","03","07:00","-0.3","","-1.2","","94","","20","","8","","16.1","","93.40","","","","-3","","NA"
"2018-11-03 08:00","2018","11","03","08:00","-0.3","","-1.3","","93","","15","","8","","16.1","","93.35","","","","-3","","NA"
"2018-11-03 09:00","2018","11","03","09:00","1.0","","-1.2","","85","","18","","8","","16.1","","93.35","","","","","","NA"
"2018-11-03 10:00","2018","11","03","10:00","2.2","","-0.5","","82","","18","","13","","16.1","","93.31","","","","","","NA"
"2018-11-03 11:00","2018","11","03","11:00","4.9","","0.7","","74","","18","","13","","16.1","","93.25","","","","","","NA"
"2018-11-03 12:00","2018","11","03","12:00","6.7","","1.5","","70","","20","","11","","16.1","","93.19","","","","","","NA"
"2018-11-03 13:00","2018","11","03","13:00","8.1","","1.3","","62","","18","","15","","16.1","","93.12","","","","","","NA"
"2018-11-03 14:00","2018","11","03","14:00","9.0","","1.8","","61","","19","","18","","16.1","","93.02","","","","","","NA"
"2018-11-03 15:00","2018","11","03","15:00","9.7","","2.1","","59","","18","","18","","16.1","","92.97","","","","","","NA"
"2018-11-03 16:00","2018","11","03","16:00","9.2","","2.4","","62","","18","","18","","16.1","","92.91","","","","","","NA"
"2018-11-03 17:00","2018","11","03","17:00","6.0","","2.1","","76","","18","","17","","16.1","","92.85","","","","","","NA"
"2018-11-03 18:00","2018","11","03","18:00","4.9","","1.6","","79","","20","","15","","16.1","","92.82","","","","","","NA"
"2018-11-03 19:00","2018","11","03","19:00","4.6","","1.1","","78","","20","","15","","16.1","","92.77","","","","","","NA"
"2018-11-03 20:00","2018","11","03","20:00","5.4","","0.8","","72","","20","","22","","16.1","","92.64","","","","","","NA"
"2018-11-03 21:00","2018","11","03","21:00","4.1","","0.6","","78","","20","","17","","16.1","","92.58","","","","","","NA"
"2018-11-03 22:00","2018","11","03","22:00","4.9","","0.1","","71","","20","","22","","16.1","","92.53","","","","","","NA"
"2018-11-03 23:00","2018","11","03","23:00"
"2018-11-04 00:00","2018","11","04","00:00"
"2018-11-04 01:00","2018","11","04","01:00"
"2018-11-04 02:00","2018","11","04","02:00"
"2018-11-04 03:00","2018","11","04","03:00"
"2018-11-04 04:00","2018","11","04","04:00"
"2018-11-04 05:00","2018","11","04","05:00"
"2018-11-04 06:00","2018","11","04","06:00"
"2018-11-04 07:00","2018","11","04","07:00"
"2018-11-04 08:00","2018","11","04","08:00"
"2018-11-04 09:00","2018","11","04","09:00"
"2018-11-04 10:00","2018","11","04","10:00"
"2018-11-04 11:00","2018","11","04","11:00"
"2018-11-04 12:00","2018","11","04","12:00"
"2018-11-04 13:00","2018","11","04","13:00"
"2018-11-04 14:00","2018","11","04","14:00"
"2018-11-04 15:00","2018","11","04","15:00"
"2018-11-04 16:00","2018","11","04","16:00"
"2018-11-04 17:00","2018","11","04","17:00"
"2018-11-04 18:00","2018","11","04","18:00"
"2018-11-04 19:00","2018","11","04","19:00"
"2018-11-04 20:00","2018","11","04","20:00"
"2018-11-04 21:00","2018","11","04","21:00"
"2018-11-04 22:00","2018","11","04","22:00"
"2018-11-04 23:00","2018","11","04","23:00"
"2018-11-05 00:00","2018","11","05","00:00"
"2018-11-05 01:00","2018","11","05","01:00"
"2018-11-05 02:00","2018","11","05","02:00"
"2018-11-05 03:00","2018","11","05","03:00"
"2018-11-05 04:00","2018","11","05","04:00"
"2018-11-05 05:00","2018","11","05","05:00"
"2018-11-05 06:00","2018","11","05","06:00"
"2018-11-05 07:00","2018","11","05","07:00"
"2018-11-05 08:00","2018","11","05","08:00","-4.9","","-9.2","","72","","32","","17","","16.1","","92.89","","","","-11","","NA"
"2018-11-05 09:00","2018","11","05","09:00","-4.8","","-8.6","","75","","30","","24","","16.1","","92.94","","","","-12","","Snow"
"2018-11-05 10:00","2018","11","05","10:00","-4.7","","-7.9","","78","","30","","28","","4.8","","92.95","","","","-12","","Snow"
"2018-11-05 11:00","2018","11","05","11:00","-3.2","","-7.4","","73","","31","","18","","16.1","","93.01","","","","-9","","NA"
"2018-11-05 12:00","2018","11","05","12:00","-2.7","","-7.2","","72","","31","","24","","16.1","","93.02","","","","-9","","NA"
"2018-11-05 13:00","2018","11","05","13:00","-2.8","","-7.7","","69","","31","","28","","16.1","","93.02","","","","-10","","NA"
"2018-11-05 14:00","2018","11","05","14:00","-1.9","","-7.7","","65","","32","","24","","16.1","","93.05","","","","-8","","NA"
"2018-11-05 15:00","2018","11","05","15:00","-2.2","","-8.3","","63","","34","","26","","16.1","","93.10","","","","-9","","NA"
"2018-11-05 16:00","2018","11","05","16:00","-2.8","","-8.7","","64","","34","","13","","16.1","","93.18","","","","-7","","NA"
"2018-11-05 17:00","2018","11","05","17:00","-5.2","","-10.2","","68","","35","","13","","16.1","","93.22","","","","-10","","NA"
"2018-11-05 18:00","2018","11","05","18:00","-7.1","","-10.5","","77","","36","","18","","16.1","","93.30","","","","-14","","NA"
"2018-11-05 19:00","2018","11","05","19:00","-7.9","","-10.9","","79","","1","","9","","16.1","","93.36","","","","-12","","NA"
"2018-11-05 20:00","2018","11","05","20:00","-8.4","","-11.6","","78","","36","","15","","16.1","","93.43","","","","-15","","NA"
"2018-11-05 21:00","2018","11","05","21:00","-8.6","","-11.6","","79","","36","","15","","16.1","","93.48","","","","-15","","NA"
"2018-11-05 22:00","2018","11","05","22:00","-9.0","","-12.0","","79","","1","","15","","16.1","","93.56","","","","-16","","NA"
"2018-11-05 23:00","2018","11","05","23:00","-9.4","","-12.7","","77","","36","","15","","16.1","","93.62","","","","-16","","Snow"
"2018-11-06 00:00","2018","11","06","00:00","-9.6","","-12.8","","78","","3","","9","","16.1","","93.66","","","","-14","","Snow"
"2018-11-06 01:00","2018","11","06","01:00","-9.6","","-12.9","","77","","2","","11","","16.1","","93.70","","","","-15","","NA"
"2018-11-06 02:00","2018","11","06","02:00","-9.9","","-12.9","","79","","32","","15","","16.1","","93.73","","","","-17","","Snow"
"2018-11-06 03:00","2018","11","06","03:00","-10.0","","-12.7","","81","","30","","11","","16.1","","93.79","","","","-16","","Snow"
"2018-11-06 04:00","2018","11","06","04:00","-10.4","","-13.1","","81","","32","","11","","16.1","","93.79","","","","-16","","Snow"
"2018-11-06 05:00","2018","11","06","05:00","-10.4","","-13.0","","82","","36","","13","","16.1","","93.84","","","","-17","","Snow"
"2018-11-06 06:00","2018","11","06","06:00","-10.7","","-12.9","","84","","33","","11","","16.1","","93.89","","","","-16","","Snow"
"2018-11-06 07:00","2018","11","06","07:00","-10.9","","-13.0","","85","","34","","13","","16.1","","93.92","","","","-17","","Snow"
"2018-11-06 08:00","2018","11","06","08:00","-11.1","","-13.6","","82","","30","","11","","16.1","","93.99","","","","-17","","Snow"
"2018-11-06 09:00","2018","11","06","09:00","-11.1","","-13.9","","80","","32","","8","","16.1","","94.01","","","","-16","","Snow"
"2018-11-06 10:00","2018","11","06","10:00","-10.8","","-14.1","","77","","33","","5","","16.1","","94.04","","","","-14","","Snow"
