"Station Name","MEDICINE HAT"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","50.02"
"Longitude","-110.72"
"Elevation","716.90"
"Climate Identifier","3034479"
"WMO Identifier","71247"
"TC Identifier","YXH"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-03-01 00:00","2019","03","01","00:00","-11.4","","-13.4","","85","","","","0","","16.1","","93.17","","","","","","NA"
"2019-03-01 01:00","2019","03","01","01:00","-13.3","","-15.3","","85","","30","","5","","16.1","","93.22","","","","-17","","NA"
"2019-03-01 02:00","2019","03","01","02:00","-12.5","","-14.1","","88","","7","","4","","16.1","","93.30","","","","-15","","NA"
"2019-03-01 03:00","2019","03","01","03:00","-12.6","","-14.6","","85","","3","","11","","11.3","","93.35","","","","-19","","Snow"
"2019-03-01 04:00","2019","03","01","04:00","-13.4","","-15.3","","86","","35","","9","","9.7","","93.45","","","","-19","","Snow"
"2019-03-01 05:00","2019","03","01","05:00","-13.2","","-15.2","","85","","36","","11","","4.8","","93.57","","","","-19","","Snow"
"2019-03-01 06:00","2019","03","01","06:00","-13.6","","-15.8","","84","","1","","22","","4.0","","93.71","","","","-23","","Snow"
"2019-03-01 07:00","2019","03","01","07:00","-14.9","","-17.6","","80","","2","","24","","16.1","","93.84","","","","-25","","Snow"
"2019-03-01 08:00","2019","03","01","08:00","-16.4","","-19.6","","77","","36","","24","","4.8","","94.06","","","","-27","","Snow"
"2019-03-01 09:00","2019","03","01","09:00","-17.1","","-20.2","","77","","36","","18","","11.3","","94.18","","","","-26","","Snow"
"2019-03-01 10:00","2019","03","01","10:00","-17.5","","-21.1","","74","","35","","22","","6.4","","94.31","","","","-28","","Haze"
"2019-03-01 11:00","2019","03","01","11:00","-17.6","","-21.3","","73","","36","","24","","2.0","","94.42","","","","-28","","Snow"
"2019-03-01 12:00","2019","03","01","12:00","-18.0","","-21.6","","74","","33","","26","","3.2","","94.51","","","","-29","","Snow"
"2019-03-01 13:00","2019","03","01","13:00","-19.0","","-23.0","","71","","33","","28","","4.8","","94.54","","","","-31","","Snow"
"2019-03-01 14:00","2019","03","01","14:00","-19.4","","-23.6","","70","","33","","30","","14.5","","94.58","","","","-32","","NA"
"2019-03-01 15:00","2019","03","01","15:00","-20.1","","-24.9","","66","","33","","26","","16.1","","94.65","","","","-32","","NA"
"2019-03-01 16:00","2019","03","01","16:00","-20.8","","-25.5","","67","","33","","22","","16.1","","94.72","","","","-32","","NA"
"2019-03-01 17:00","2019","03","01","17:00","-22.3","","-27.4","","64","","33","","28","","16.1","","94.85","","","","-35","","NA"
"2019-03-01 18:00","2019","03","01","18:00","-23.5","","-28.0","","67","","32","","18","","16.1","","94.92","","","","-34","","NA"
"2019-03-01 19:00","2019","03","01","19:00","-24.6","","-29.1","","67","","32","","17","","16.1","","94.98","","","","-35","","NA"
"2019-03-01 20:00","2019","03","01","20:00","-26.2","","-30.0","","71","","30","","9","","16.1","","95.05","","","","-34","","NA"
"2019-03-01 21:00","2019","03","01","21:00","-28.3","","-31.8","","73","","22","","5","","16.1","","95.12","","","","-34","","NA"
"2019-03-01 22:00","2019","03","01","22:00","-29.6","","-32.6","","76","","23","","5","","11.3","","95.18","","","","-35","","NA"
"2019-03-01 23:00","2019","03","01","23:00","-32.3","","-35.6","","73","","24","","11","","2.4","","95.22","","","","-42","","Haze"
"2019-03-02 00:00","2019","03","02","00:00","-33.6","","-36.6","","75","","28","","8","","16.1","","95.25","","","","-42","","NA"
"2019-03-02 01:00","2019","03","02","01:00","-34.4","","-37.4","","75","","24","","5","","16.1","","95.26","","","","-41","","NA"
"2019-03-02 02:00","2019","03","02","02:00","-34.7","","-37.8","","74","","24","","8","","16.1","","95.21","","","","-43","","NA"
"2019-03-02 03:00","2019","03","02","03:00","-35.7","","-38.8","","74","","18","","5","","16.1","","95.29","","","","-42","","NA"
"2019-03-02 04:00","2019","03","02","04:00","-35.3","","-38.6","","73","","16","","5","","16.1","","95.30","","","","-42","","NA"
"2019-03-02 05:00","2019","03","02","05:00","-35.8","","-39.2","","72","","24","","4","","16.1","","95.30","","","","-41","","NA"
"2019-03-02 06:00","2019","03","02","06:00","-35.9","","-39.4","","71","","23","","4","","16.1","","95.33","","","","-41","","NA"
"2019-03-02 07:00","2019","03","02","07:00","-36.3","","-39.9","","70","","17","","8","","16.1","","95.37","","","","-45","","NA"
"2019-03-02 08:00","2019","03","02","08:00","-36.1","","-39.8","","70","","22","","9","","16.1","","95.39","","","","-46","","NA"
"2019-03-02 09:00","2019","03","02","09:00","-33.4","","-37.0","","71","","22","","9","","16.1","","95.44","","","","-43","","NA"
"2019-03-02 10:00","2019","03","02","10:00","-30.2","","-33.6","","73","","22","","15","","16.1","","95.37","","","","-42","","NA"
"2019-03-02 11:00","2019","03","02","11:00","-28.5","","-31.9","","73","","22","","13","","16.1","","95.42","","","","-39","","NA"
"2019-03-02 12:00","2019","03","02","12:00","-26.5","","-30.0","","73","","22","","13","","16.1","","95.43","","","","-36","","NA"
"2019-03-02 13:00","2019","03","02","13:00","-25.0","","-28.7","","72","","24","","9","","16.1","","95.38","","","","-33","","NA"
"2019-03-02 14:00","2019","03","02","14:00","-23.7","","-28.4","","66","","26","","13","","16.1","","95.23","","","","-33","","NA"
"2019-03-02 15:00","2019","03","02","15:00","-23.2","","-28.8","","61","","27","","15","","16.1","","95.23","","","","-33","","NA"
"2019-03-02 16:00","2019","03","02","16:00","-23.4","","-29.3","","59","","28","","13","","16.1","","95.22","","","","-33","","NA"
"2019-03-02 17:00","2019","03","02","17:00","-24.0","","-29.6","","61","","26","","13","","16.1","","95.17","","","","-33","","NA"
"2019-03-02 18:00","2019","03","02","18:00","-25.8","","-30.4","","66","","25","","17","","16.1","","95.20","","","","-37","","NA"
"2019-03-02 19:00","2019","03","02","19:00","-28.1","","-31.8","","71","","23","","11","","16.1","","95.22","","","","-37","","NA"
